"Disease_Code","Disease_Name","Name","Source","P_value","FDR_Bonferroni","FDR_BH","FDR_BY","Query_Hits","Genome_Hits","Hits"
"C0020474","C0020474","Hyperlipidemia, Familial Combined","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"FASLG"
"C0020500","C0020500","Hyperoxaluria","DisGeNET Curated",0.0265,1,0.0474,0.392,1,8,"CCL5"
"C0020517","C0020517","Hypersensitivity","DisGeNET Curated",4.56e-11,1e-07,5.9e-09,4.88e-08,8,64,"CASP1,IFNG,CCR2,CLEC4A,CXCL9,CCL4,TNF,IL2RB"
"EFO_0009189","EFO_0009189","hyperthyroidism","GWAS",0.000222,0.488,0.00206,0.017,3,35,"ICOS,TNF,CTLA4"
"DOID:0050642","DOID:0050642 (is_implicated_in)","hypochromic microcytic anemia (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"TNF"
"C0086438","C0086438","Hypogammaglobulinemia","DisGeNET Curated",2.41e-05,0.0529,0.000392,0.00324,3,17,"ICOS,BTK,CTLA4"
"C0020625","C0020625","Hyponatremia","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"IFNG"
"C0178416","C0178416","Hypoplastic anemia","DisGeNET Curated",0.000232,0.509,0.0021,0.0174,2,7,"IFNG,PRF1"
"C0020649","C0020649","Hypotension","DisGeNET Curated",0.0137,1,0.0304,0.252,2,53,"IFNG,TNF"
"EFO_0004705","EFO_0004705","hypothyroidism","GWAS",4.27e-08,9.39e-05,2.09e-06,1.73e-05,10,284,"TBX21,IRF4,ITK,STAT4,CD2,CD247,ICOS,CD69,CTLA4,IL7R"
"CV:C0342381","cv:C0342381","Idiopathic growth hormone deficiency","Clinical Variations",0.0067,1,0.0185,0.153,1,2,"BTK"
"DOID:2986","DOID:2986 (is_implicated_in)","IgA glomerulonephritis (is_implicated_in)","AllianceGenome",0.000139,0.306,0.00141,0.0116,3,30,"SELL,STAT4,FCGR3A"
"EFO_0008424","EFO_0008424","IgG digalactosylation measurement","GWAS",0.0265,1,0.0474,0.392,1,8,"IKZF1"
"EFO_0008429","EFO_0008429","IgG disialylation measurement","GWAS",0.0167,1,0.0345,0.286,1,5,"IKZF1"
"C0949272","C0949272","IIeocolitis","DisGeNET Curated",1.46e-05,0.0321,0.000255,0.00211,4,44,"TAGAP,NOD2,IFNG,TNF"
"C0020951","C0020951","Immune Complex Diseases","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"IFNG"
"C1844666","C1844666","Immune dysregulation","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"CTLA4"
"616100","616100","IMMUNE DYSREGULATION WITH AUTOIMMUNITY, IMMUNODEFICIENCY, AND LYMPHOPROLIFERATION","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"CTLA4"
"EFO_0000540","EFO_0000540","immune system disease","GWAS",0.00398,1,0.0131,0.109,2,28,"STAT4,CD247"
"CV:C5676890","cv:C5676890","Immunodeficiency 104","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"IL7R"
"CV:C5677005","cv:C5677005","Immunodeficiency 105","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"PTPRC"
"608957","608957","IMMUNODEFICIENCY 116","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"CD8A"
"620668","620668","IMMUNODEFICIENCY 117","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"IRF1"
"CV:C3810147","cv:C3810147","Immunodeficiency 19","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"CD3D"
"C3810342","C3810342","IMMUNODEFICIENCY 20","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"FCGR3A"
"615758","615758","IMMUNODEFICIENCY 22","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"LCK"
"CV:C1857798","cv:C1857798","Immunodeficiency 25","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"CD247"
"614892","614892","IMMUNODEFICIENCY 31A","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"STAT1"
"CV:C3151088","cv:C3151088","Immunodeficiency 31B","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"STAT1"
"DOID:0111946","DOID:0111946 (is_implicated_in)","immunodeficiency 31C (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"STAT1"
"DOID:0111986","DOID:0111986 (is_implicated_in)","immunodeficiency 32A (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"IRF8"
"DOID:0111985","DOID:0111985 (is_implicated_in)","immunodeficiency 32B (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"IRF8"
"DOID:0111943","DOID:0111943 (is_implicated_in)","immunodeficiency 48 (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"ZAP70"
"CV:C5436498","cv:C5436498","Immunodeficiency 69","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"IFNG"
"608203","608203","IMMUNODEFICIENCY 73A WITH DEFECTIVE NEUTROPHIL CHEMOTAXIS AND LEUKOCYTOSIS","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"RAC2"
"DOID:0112061","DOID:0112061 (implicated_via_orthology)","immunodeficiency 73b with defective neutrophil chemotaxis and lymphopenia (implicated_via_orthology)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"RAC2"
"DOID:0112062","DOID:0112062 (is_implicated_in)","immunodeficiency 73c with defective neutrophil chemotaxis and hypogammaglobulinemia (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"RAC2"
"C3809383","C3809383","IMMUNODEFICIENCY 8","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"CORO1A"
"615401","615401","IMMUNODEFICIENCY 8 WITH LYMPHOPROLIFERATION","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"CORO1A"
"CV:C5543540","cv:C5543540","Immunodeficiency 81","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"LCP2"
"CV:C5676883","cv:C5676883","Immunodeficiency 98 with autoinflammation, X-linked","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"TLR8"
"C1857798","C1857798","Immunodeficiency due to Defect in CD3-Zeta","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"CD247"
"616873","616873","IMMUNODEFICIENCY, COMMON VARIABLE, 13","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"IKZF1"
"DOID:0060025","DOID:0060025 (is_implicated_in)","immunoglobulin alpha deficiency (is_implicated_in)","AllianceGenome",3.34e-05,0.0734,0.000473,0.00392,2,3,"ICOS,CTLA4"
"C2936665","C2936665","Immunoglobulin Deficiency, Late-Onset","DisGeNET Curated",0.000601,1,0.0046,0.0381,2,11,"IKZF1,ICOS"
"C0021051","C0021051","Immunologic Deficiency Syndromes","DisGeNET Curated",0.00269,1,0.0113,0.0932,2,23,"ZAP70,CD3E"
"DOID:0050881","DOID:0050881 (is_marker_for)","inclusion body myopathy with Paget disease of bone and frontotemporal dementia (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"TNF"
"DOID:3429","DOID:3429 (is_marker_for)","inclusion body myositis (is_marker_for)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"CCR2"
"C3714514","C3714514","Infection","DisGeNET Curated",0.0233,1,0.0436,0.361,1,7,"TNF"
"C0040954","C0040954","Infection by Trichuris trichiura","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"IFNG"
"DOID:8568","DOID:8568 (is_marker_for)","infectious mononucleosis (is_marker_for)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"FASLG"
"C0021368","C0021368","Inflammation","DisGeNET Curated",2.48e-07,0.000546,9.1e-06,7.53e-05,7,127,"IDO1,TBX21,CASP1,IFNG,CD3E,CCL4,TNF"
"EFO_0003767","EFO_0003767","inflammatory bowel disease","GWAS",0.000806,1,0.00599,0.0496,7,449,"IRF1,IRF4,IKZF1,STAT4,NOD2,CD6,PTPRC"
"C0021390","C0021390","Inflammatory Bowel Diseases","DisGeNET Curated",0.000222,0.488,0.00206,0.017,3,35,"ITGAL,NOD2,TNF"
"C0021400","C0021400","Influenza","DisGeNET Curated",0.0133,1,0.0297,0.245,2,52,"CXCL10,STAT1"
"EFO_0009941","EFO_0009941","Inhalant adrenergic use measurement","GWAS",0.000313,0.687,0.0027,0.0223,4,96,"IRF1,CD247,PTPRC,IL7R"
"CV:C1869116","cv:C1869116","Inherited susceptibility to asthma","Clinical Variations",0.0265,1,0.0474,0.392,1,8,"TNF"
"EFO_0004628","EFO_0004628","insulin like growth factor measurement","GWAS",0.0265,1,0.0474,0.392,1,8,"CXCL10"
"C0021655","C0021655","Insulin Resistance","DisGeNET Curated",0.0174,1,0.0359,0.297,2,60,"CASP1,TNF"
"C0920563","C0920563","Insulin Sensitivity","DisGeNET Curated",0.0174,1,0.0359,0.297,2,60,"CASP1,TNF"
"EFO_0801702","EFO_0801702","insulin-like growth factor I measurement","GWAS",0.0167,1,0.0345,0.286,1,5,"CXCL10"
"EFO_0004750, EFO_0600067","EFO_0004750, EFO_0600067","interleukin 10 measurement, mastiha supplement exposure measurement","GWAS",0.0134,1,0.0297,0.245,1,4,"GZMB"
"EFO_0008190","EFO_0008190","interleukin 7 receptor subunit alpha measurement","GWAS",0.0067,1,0.0185,0.153,1,2,"IL7R"
"EFO_0020508","EFO_0020508","interleukin-7 receptor subunit alpha measurement","GWAS",0.0134,1,0.0297,0.245,1,4,"IL7R"
"DOID:12732","DOID:12732 (is_implicated_in)","intermediate uveitis (is_implicated_in)","AllianceGenome",1.11e-05,0.0245,0.000211,0.00175,2,2,"CCR2,TNF"
"C0282488","C0282488","Interstitial Cystitis","DisGeNET Curated",3.34e-05,0.0734,0.000473,0.00392,2,3,"CXCL10,CXCL9"
"DOID:3082","DOID:3082 (is_marker_for)","interstitial lung disease (is_marker_for)","AllianceGenome",1.43e-06,0.00314,4.55e-05,0.000377,4,25,"CXCL10,CCR2,CXCL9,CCR5"
"DOID:10155","DOID:10155 (implicated_via_orthology)","intestinal cancer (implicated_via_orthology)","AllianceGenome",0.00518,1,0.0169,0.14,2,32,"LCK,HCK"
"DOID:5295","DOID:5295 (is_implicated_in)","intestinal disease (is_implicated_in)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"NOD2"
"C0021831","C0021831","Intestinal Diseases","DisGeNET Curated",0.0265,1,0.0474,0.392,1,8,"CTLA4"
"DOID:10941","DOID:10941 (implicated_via_orthology)","intracranial aneurysm (implicated_via_orthology)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"TNF"
"DOID:3457","DOID:3457 (is_marker_for)","invasive lobular carcinoma (is_marker_for)","AllianceGenome",0.0233,1,0.0436,0.361,1,7,"FASLG"
"DOID:9383","DOID:9383 (is_implicated_in)","iridocyclitis (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"CTLA4"
"DOID:11758","DOID:11758 (is_implicated_in)","iron deficiency anemia (is_implicated_in)","AllianceGenome",0.02,1,0.039,0.322,1,6,"TNF"
"DOID:0060875","DOID:0060875 (is_implicated_in)","isolated growth hormone deficiency type III (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"BTK"
"307200","307200","ISOLATED GROWTH HORMONE DEFICIENCY, TYPE III, WITH AGAMMAGLOBULINEMIA","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"BTK"
"EFO_0020019","EFO_0020019","isovalerylcarnitine measurement","GWAS",0.0233,1,0.0436,0.361,1,7,"IRF1"
"C3887645","C3887645","Job Syndrome","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"IFNG"
"C2931171","C2931171","Juvenile pauciarticular chronic arthritis","DisGeNET Curated",1.27e-06,0.00279,4.11e-05,0.00034,3,7,"STAT4,CD247,IL2RB"
"EFO_0801739","EFO_0801739","kallikrein-6 measurement","GWAS",0.0265,1,0.0474,0.392,1,8,"CXCL10"
"EFO_0010622","EFO_0010622","kallikreinΓÇÉ6 measurement","GWAS",0.02,1,0.039,0.322,1,6,"CXCL10"
"DOID:13378","DOID:13378 (is_implicated_in)","Kawasaki disease (is_implicated_in)","AllianceGenome",7.89e-06,0.0173,0.000183,0.00151,3,12,"CCR2,CCR5,TNF"
"DOID:12895","DOID:12895 (is_marker_for)","keratoconjunctivitis sicca (is_marker_for)","AllianceGenome",3.34e-05,0.0734,0.000473,0.00392,2,3,"CCR5,TNF"
"DOID:557","DOID:557 (implicated_via_orthology)","kidney disease (implicated_via_orthology)","AllianceGenome",1.1e-05,0.0241,0.000211,0.00175,4,41,"LCK,CCL5,HCK,RAC2"
"C0022661","C0022661","Kidney Failure, Chronic","DisGeNET Curated",0.0114,1,0.0276,0.228,2,48,"NCF1,TNF"
"EFO_0801747","EFO_0801747","kinesin-like protein KIF16B measurement","GWAS",0.0233,1,0.0436,0.361,1,7,"CXCL10"
"C0023453","C0023453","L2 Acute Lymphoblastic Leukemia","DisGeNET Curated",0.0123,1,0.0297,0.245,2,50,"IKZF1,HCK"
"DOID:2600","DOID:2600 (is_marker_for)","laryngeal carcinoma (is_marker_for)","AllianceGenome",0.02,1,0.039,0.322,1,6,"CXCR4"
"DOID:2596","DOID:2596 (is_marker_for)","larynx cancer (is_marker_for)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"CXCR4"
"DOID:0080846","DOID:0080846 (is_implicated_in)","latent autoimmune diabetes in adults (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"CTLA4"
"C0023241","C0023241","Legionnaires' Disease","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"IFNG"
"DOID:9065","DOID:9065 (is_marker_for)","leishmaniasis (is_marker_for)","AllianceGenome",6.66e-05,0.146,0.000822,0.0068,2,4,"IFNG,CCR5"
"C0023283","C0023283","Leishmaniasis, Cutaneous","DisGeNET Curated",0.000308,0.677,0.00267,0.0221,2,8,"IFNG,TNF"
"C0086540","C0086540","Leishmaniasis, New World","DisGeNET Curated",0.000308,0.677,0.00267,0.0221,2,8,"IFNG,TNF"
"C0023290","C0023290","Leishmaniasis, Visceral","DisGeNET Curated",0.000849,1,0.00614,0.0508,2,13,"IFNG,TNF"
"DOID:1024","DOID:1024 (is_implicated_in)","leprosy (is_implicated_in)","AllianceGenome",0.000308,0.677,0.00267,0.0221,2,8,"NOD2,TNF"
"C0023418","C0023418","leukemia","DisGeNET Curated",0.0147,1,0.0325,0.269,2,55,"BIRC3,PRF1"
"EFO_0004308","EFO_0004308","leukocyte count","GWAS",4.73e-06,0.0104,0.000123,0.00101,20,1913,"SELL,CD244,TAGAP,IRF1,IRF4,IKZF1,ITGAL,FASLG,SLAMF1,CD1D,CD247,PTPRC,CD8A,FCGR3A,CXCR4,TNFSF13B,CD69,TRAF3IP3,PLEK,IL7R"
"EFO_0801765","EFO_0801765","leukocyte immunoglobulin-like receptor subfamily A member 4 measurement","GWAS",0.0233,1,0.0436,0.361,1,7,"IKZF1"
"EFO_0008209","EFO_0008209","leukocyte immunoglobulin-like receptor subfamily B member 2 measurement","GWAS",0.000601,1,0.0046,0.0381,2,11,"LILRB2,LILRB1"
"DOID:615","DOID:615 (is_implicated_in)","leukopenia (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"CXCR4"
"OBA_2041072","OBA_2041072","level of CB1 cannabinoid receptor-interacting protein 1 in blood serum","GWAS",0.0067,1,0.0185,0.153,1,2,"PLEK"
"OBA_2040305","OBA_2040305","level of low affinity immunoglobulin gamma Fc region receptor III-A in blood serum","GWAS",0.0067,1,0.0185,0.153,1,2,"FCGR3A"
"OBA_2040238","OBA_2040238","level of T-cell surface glycoprotein CD8 alpha chain in blood serum","GWAS",0.0167,1,0.0345,0.286,1,5,"CD8A"
"C0242380","C0242380","Libman-Sacks Disease","DisGeNET Curated",4.4e-05,0.0968,0.000613,0.00507,4,58,"NCF1,IKZF1,STAT4,CTLA4"
"DOID:1577","DOID:1577 (is_implicated_in)","limited scleroderma (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"STAT4"
"C0263409","C0263409","Linear Scleroderma","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"TNF"
"C0023860","C0023860","Listeriosis","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"TNF"
"DOID:5082","DOID:5082 (is_marker_for)","liver cirrhosis (is_marker_for)","AllianceGenome",0.00268,1,0.0113,0.0932,3,82,"CXCL10,CCL5,TNF"
"C0023893","C0023893","Liver Cirrhosis, Experimental","DisGeNET Curated",4.53e-25,9.96e-22,9.96e-22,8.24e-21,31,774,"CXCL10,IRF8,CASP1,PSMB9,CXCL13,BIRC3,ARHGAP9,ARHGAP30,LCP2,ITGAL,IFNG,PTPRC,FCGR1A,FCGR3A,SASH3,CLEC4A,CD86,GZMA,CXCL9,MYO1F,CD48,CD53,CCL5,TNF,PLEK,IL2RB,IL2RG,HCK,VAV1,IL7R,RAC2"
"DOID:409","DOID:409 (biomarker_via_orthology)","liver disease (biomarker_via_orthology)","AllianceGenome",0.0233,1,0.0436,0.361,1,7,"FASLG"
"C0023895","C0023895","Liver diseases","DisGeNET Curated",0.000103,0.226,0.00115,0.00951,4,72,"CCR2,CD3D,CD86,TNF"
"C0086565","C0086565","Liver Dysfunction","DisGeNET Curated",0.000103,0.226,0.00115,0.00951,4,72,"CCR2,CD3D,CD86,TNF"
"C0162557","C0162557","Liver Failure, Acute","DisGeNET Curated",0.00293,1,0.0113,0.0932,2,24,"FASLG,TNF"
"C0032300","C0032300","Lobar Pneumonia","DisGeNET Curated",6.01e-10,1.32e-06,4.72e-08,3.9e-07,7,54,"CASP1,IFNG,CCR2,CXCL9,CCL4,TNF,IL2RB"
"C0036420","C0036420","Localized scleroderma","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"TNF"
"EFO_0008211","EFO_0008211","low affinity immunoglobulin gamma Fc region receptor II-a/b measurement","GWAS",0.0233,1,0.0436,0.361,1,7,"FCGR3A"
"DOID:13544","DOID:13544 (is_implicated_in)","low tension glaucoma (is_implicated_in)","AllianceGenome",0.0265,1,0.0474,0.392,1,8,"TNF"
"DOID:3910","DOID:3910 (is_marker_for)","lung adenocarcinoma (is_marker_for)","AllianceGenome",0.00297,1,0.0113,0.0932,3,85,"IKZF1,CXCR4,BTK"
"CV:C0242379","cv:C0242379","Lung cancer","Clinical Variations",0.000988,1,0.0069,0.0571,2,14,"IRF1,FASLG"
"CV:C0684249","cv:C0684249","Lung carcinoma","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"FASLG"
"DOID:850","DOID:850 (is_marker_for)","lung disease (is_marker_for)","AllianceGenome",5.39e-05,0.118,0.000709,0.00587,3,22,"IFNG,CCR2,TNF"
"C0273115","C0273115","Lung Injury","DisGeNET Curated",0.00225,1,0.0113,0.0932,2,21,"CCL4,TNF"
"C0024121","C0024121","Lung Neoplasms","DisGeNET Curated",0.0123,1,0.0297,0.245,4,265,"IRF1,FASLG,IFNG,TNF"
"DOID:3908","DOID:3908 (is_implicated_in)","lung non-small cell carcinoma (is_implicated_in)","AllianceGenome",0.00126,1,0.00856,0.0709,4,139,"BIRC3,IRF1,TNF,IL7R"
"C0024141","C0024141","Lupus Erythematosus, Systemic","DisGeNET Curated",9.75e-05,0.214,0.00111,0.00916,4,71,"NCF1,IKZF1,STAT4,CTLA4"
"C0752334","C0752334","Lupus Meningoencephalitis","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"FCGR3A"
"DOID:0080162","DOID:0080162 (is_marker_for)","lupus nephritis (is_marker_for)","AllianceGenome",0.00147,1,0.00929,0.0769,2,17,"IFNG,TNF"
"C0752332","C0752332","Lupus Vasculitis, Central Nervous System","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"FCGR3A"
"C0497156","C0497156","Lymphadenopathy","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"CTLA4"
"EFO_0004587","EFO_0004587","lymphocyte count","GWAS",7.21e-08,0.000159,3.24e-06,2.68e-05,20,1464,"TBX21,IRF1,IRF4,IKZF1,CD6,PTPRC,CD8A,RASAL3,TRAT1,CXCR4,CD86,PRF1,TNFSF13B,CD69,TNF,CCR7,PLEK,VAV1,IL7R,RAC2"
"EFO_0803546","EFO_0803546","lymphocyte measurement","GWAS",0.00723,1,0.0199,0.164,3,117,"IRF4,CD69,IL7R"
"EFO_0007993","EFO_0007993","lymphocyte percentage of leukocytes","GWAS",8.13e-05,0.179,0.000951,0.00786,10,665,"CD244,IRF8,POU2AF1,IRF1,IRF4,IKZF1,PTPRC,CD69,CCR7,IL7R"
"EFO_0600088","EFO_0600088","lymphocyte:monocyte ratio","GWAS",5.7e-07,0.00125,1.96e-05,0.000162,9,288,"CD52,IRF8,IKZF1,CCR2,CXCR4,PRF1,TNFSF13B,CD69,IL7R"
"C0024299","C0024299","Lymphoma","DisGeNET Curated",9.93e-06,0.0218,0.000211,0.00175,4,40,"IKZF1,PRF1,SH2D1A,RAC2"
"C0079773","C0079773","Lymphoma, T-Cell, Cutaneous","DisGeNET Curated",0.00269,1,0.0113,0.0932,2,23,"IRF4,CTLA4"
"DOID:614","DOID:614 (is_marker_for)","lymphopenia (is_marker_for)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"TNF"
"DOID:0060901","DOID:0060901 (is_implicated_in)","lymphoplasmacytic lymphoma (is_implicated_in)","AllianceGenome",0.000111,0.243,0.00116,0.00959,2,5,"FCGR3A,CXCR4"
"C0024314","C0024314","Lymphoproliferative Disorders","DisGeNET Curated",6.66e-05,0.146,0.000822,0.0068,2,4,"IFNG,SH2D1A"
"615122","615122","LYMPHOPROLIFERATIVE SYNDROME 2","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"CD27"
"EFO_0004747, EFO_0008219","EFO_0004747, EFO_0008219","macrophage inflammatory protein 1b measurement, protein measurement","GWAS",0.0134,1,0.0297,0.245,1,4,"CCR2"
"EFO_0020550","EFO_0020550","macrophage-stimulating protein receptor measurement","GWAS",0.0233,1,0.0436,0.361,1,7,"CXCL10"
"C1269683","C1269683","Major Depressive Disorder","DisGeNET Curated",0.00139,1,0.00905,0.0748,5,243,"CXCL10,TBX21,IFNG,TNF,CTLA4"
"DOID:12365","DOID:12365 (is_marker_for)","malaria (is_marker_for)","AllianceGenome",0.000166,0.364,0.0016,0.0132,2,6,"TBX21,CTLA4"
"C0006142","C0006142","Malignant neoplasm of breast","DisGeNET Curated",1.4e-05,0.0309,0.000253,0.00209,14,1074,"IDO1,IRF8,SLAMF1,STAT1,STAT4,IFNG,CD2,PTPRC,CXCR4,BTK,GZMB,CXCL9,TNF,RAC2"
"C0242379","C0242379","Malignant neoplasm of lung","DisGeNET Curated",0.0125,1,0.0297,0.245,4,266,"IRF1,FASLG,IFNG,TNF"
"C0024623","C0024623","Malignant neoplasm of stomach","DisGeNET Curated",0.0186,1,0.0379,0.314,4,300,"TNFRSF9,IRF1,CST7,TNF"
"C0007102","C0007102","Malignant tumor of colon","DisGeNET Curated",0.00205,1,0.0113,0.0932,4,159,"TNFRSF9,CXCL10,IFNG,TNF"
"C4704874","C4704874","Mammary Carcinoma, Human","DisGeNET Curated",0.00859,1,0.0234,0.193,6,525,"IDO1,IFNG,CXCR4,GZMB,CXCL9,TNF"
"C1458155","C1458155","Mammary Neoplasms","DisGeNET Curated",0.00874,1,0.0237,0.196,6,527,"IDO1,IFNG,CXCR4,GZMB,CXCL9,TNF"
"C1257931","C1257931","Mammary Neoplasms, Human","DisGeNET Curated",0.00859,1,0.0234,0.193,6,525,"IDO1,IFNG,CXCR4,GZMB,CXCL9,TNF"
"C0677050","C0677050","Manganese Poisoning","DisGeNET Curated",0.000988,1,0.0069,0.0571,2,14,"IFNG,TNF"
"DOID:0050746","DOID:0050746 (is_implicated_in)","mantle cell lymphoma (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"BTK"
"CV:CN077994","cv:CN077994","Maraviroc response","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"CCR5"
"DOID:10690","DOID:10690 (is_marker_for)","mastitis (is_marker_for)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"CCL4"
"C0025202","C0025202","melanoma","DisGeNET Curated",2.1e-05,0.0462,0.000347,0.00287,7,248,"FASLG,IFNG,KLRK1,TNF,CTLA4,KLRB1,RAC2"
"CV:C3808589","cv:C3808589","Mendelian susceptibility to mycobacterial diseases due to partial IRF8 deficiency","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"IRF8"
"CV:C4013950","cv:C4013950","Mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"STAT1"
"DOID:0080176","DOID:0080176 (is_implicated_in)","meningococcal meningitis (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"NOD2"
"DOID:0050452","DOID:0050452 (is_marker_for)","mevalonic aciduria (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"TNF"
"DOID:3525","DOID:3525 (biomarker_via_orthology)","middle cerebral artery infarction (biomarker_via_orthology)","AllianceGenome",1.58e-05,0.0347,0.000274,0.00226,5,93,"IRF4,NOD2,CD86,TNF,IL7R"
"CV:C0149931","cv:C0149931","Migraine","Clinical Variations",0.0134,1,0.0297,0.245,1,4,"TNF"
"CV:CN300932","cv:CN300932","Migraine with or without aura, susceptibility to","Clinical Variations",0.0134,1,0.0297,0.245,1,4,"TNF"
"CV:C3887485","cv:C3887485","Migraine with or without aura, susceptibility to, 1","Clinical Variations",0.01,1,0.0246,0.203,1,3,"TNF"
"DOID:12783","DOID:12783 (is_implicated_in)","migraine without aura (is_implicated_in)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"TNF"
"C4552766","C4552766","Miscarriage","DisGeNET Curated",0.00595,1,0.0185,0.153,3,109,"CXCL10,CD8A,CD69"
"EFO_0020579","EFO_0020579","mitogen-activated protein kinase 3 measurement","GWAS",0.0167,1,0.0345,0.286,1,5,"CORO1A"
"DOID:3492","DOID:3492 (is_marker_for)","mixed connective tissue disease (is_marker_for)","AllianceGenome",3.34e-05,0.0734,0.000473,0.00392,2,3,"IFNG,TNF"
"DOID:7442","DOID:7442 (is_implicated_in)","monoclonal gammopathy of uncertain significance (is_implicated_in)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"CTLA4"
"EFO_0010596","EFO_0010596","monocyte chemotactic protein 1 measurement","GWAS",0.0067,1,0.0185,0.153,1,2,"CCR2"
"EFO_0005091","EFO_0005091","monocyte count","GWAS",1.78e-06,0.00391,5.28e-05,0.000437,17,1320,"SELL,CD52,CD244,IRF8,ARHGAP9,IKZF1,ARHGAP30,TLR8,CCR2,CD1D,PTPRC,FCGR1A,FCGR3A,CXCR4,TNFSF13B,PLEK,KLRC1"
"EFO_0007989","EFO_0007989","monocyte percentage of leukocytes","GWAS",2.21e-08,4.86e-05,1.1e-06,9.13e-06,15,731,"CD52,IRF8,ARHGAP9,IRF4,IKZF1,ARHGAP30,CCR2,PTPRC,RASAL3,CXCR4,TNFSF13B,MYO1F,CD69,KLRC1,IL7R"
"C0406537","C0406537","Morbilliform Drug Reaction","DisGeNET Curated",0.00269,1,0.0113,0.0932,2,23,"IFNG,TNF"
"C1527383","C1527383","Morphea","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"TNF"
"EFO_0008377","EFO_0008377","mosquito bite reaction itch intensity measurement","GWAS",1.32e-08,2.89e-05,6.88e-07,5.7e-06,8,129,"IRF8,PSMB9,IRF1,IKZF1,FASLG,SLAMF1,CCR2,RAC2"
